;Assets $;Market value $;Revenues $;Total Stockholder Equity $;company;The_page_opened;non-document-error;number_of_errors;number_of_warning;facebook;instagram;linkedin;pinterest;twitter;youtube;Flesh_Mesaure;Readability;Sentences;Unique words;Words;url;external;internal;total links;.bmp;.dib;.gif;.jpe;.jpeg;.jpg;.png;.tif;.tiff;total images;loading time;pixels;Proft_%_Revenues
150;14,842;48,545;18,591;-174;Kimberly-Clark;TRUE;0;8;21;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;54.6;Fairly difficult;70;58;300;www.kimberly-clark.com;4;52;56;0;0;3;0;0;16;7;1;0;27;0.062;2461557;8.9
151;228,348;18,279;18,377;17,642;Hartford Financial Services Group;TRUE;0;102;53;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;41.4;Difficult;309;169;1006;www.thehartford.com;59;64;123;0;0;0;0;0;7;14;0;0;21;0.037;4830684;2.8
152;122,973;95,465;18,338;66,005;Kraft Heinz;TRUE;1;0;0;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;52.3;Fairly difficult;68;63;272;www.kraftheinzcompany.com;3;60;63;0;0;0;0;0;6;7;0;0;13;0.161;1202003;3.2
153;9,406;8,157;18,211;2,927;Lear;TRUE;1;0;0;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;73.9;Fairly easy;1350;957;7048;www.lear.com;5;405;410;0;0;0;0;0;6;16;1;0;23;0.999;10605442;6.3
154;7,632;7,476;18,114;2,997;Fluor;TRUE;0;196;5;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;39.2;Difficult;168;117;500;www.fluor.com;2;152;154;0;0;9;0;0;75;18;0;0;102;0.248;6180411;2.3
155;14,014;4,699;17,99;3,408;AECOM;TRUE;0;8;6;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;n/a;n/a;n/a;n/a;n/a;www.aecom.com;9;122;131;0;0;1;0;0;43;59;3;0;106;0.132;352862;4.5
156;49,407;324,761;17,928;44,218;Facebook;TRUE;0;29;4;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;21.3;Very Confusing;29;21;98;www.facebook.com;57;65;122;0;0;17;0;0;0;53;0;0;70;0.2;10937051;25.6
157;9,603;3,672;17,914;2,315;Jabil Circuit;TRUE;1;0;0;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;30.7;Very Confusing;115;135;450;www.jabil.com;4;115;119;0;0;0;0;0;8;3;0;0;11;0.357;6202500;11.0
158;47,604;17,382;17,9;14,06;CenturyLink;TRUE;0;252;24;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;54.8;Fairly difficult;52;38;201;www.centurylink.com;11;73;84;0;0;1;0;0;0;31;1;0;33;0.732;6572876;11.7
159;4,485;1,532;17,82;-646;Supervalu;TRUE;1;0;0;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;41.1;Difficult;72;94;344;www.supervalu.com;1;64;65;0;2;0;0;0;15;25;0;0;42;0.383;1511458;3.5
160;21,965;37,655;17,63;4,997;General Mills;TRUE;0;150;16;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;46.5;Difficult;239;146;650;www.generalmills.com;8;172;180;0;0;0;0;0;6;3;0;0;9;0.688;4686113;7.1
161;78,318;47,222;17,489;20,592;Southern;TRUE;1;0;0;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;www.southerncompany.com;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;3506242;7.6
162;82,479;54,606;17,486;22,574;NextEra Energy;TRUE;0;52;9;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;72.9;Fairly easy;29;58;385;www.nexteraenergy.com;0;24;24;0;0;4;0;0;3;0;0;0;7;0.374;1093571;7.6
